timestamp,participant_id,experiment_run,Survived_ai,cf_explanations,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass,Age,SibSp,Parch,Fare,Survived
2024-06-04 15:35:11,24060401,1,Survived,"[""Changing from 1st Passanger Class to 2nd and from 0 Parent/Child to 4 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Age from 59 to 54 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 2nd and from 0 Sibling/Spouse to 2 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,59,0,0,698,1
2024-06-04 15:42:49,24060402,1,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £849 to £8103 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £849 to £6784 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £849 to £5894 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,1,0,1,849,1
2024-06-04 15:46:12,24060402,2,Did not Survive,"[""Changing the Fare from £6615 to £5318 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 1st and the Fare from £6615 to £8371 will result in the prediction changing to 'SURVIVED'."", ""Changing the Fare from £6615 to £1979 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,3,4,2,0,6615,1
2024-06-04 15:52:05,24060402,3,Did not Survive,"[""Changing from 1 Parent/Child to 2 and the Fare from £5852 to £7842 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 45 to 25 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 45 to 5 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,45,1,1,5852,1
2024-06-04 15:58:13,24060402,4,Survived,"[""Changing from 1st Passanger Class to 3rd and from 0 Sibling/Spouse to 5 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 0 Sibling/Spouse to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 2nd and the Age from 37 to 64 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,37,0,1,617,1
2024-06-04 16:01:04,24060402,5,Survived,"[""Changing from 1st Passanger Class to 3rd and the Age from 21 to 30 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £826 to £4302 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £826 to £6313 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,21,0,2,826,1
2024-06-04 16:02:11,24060402,6,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £512 to £3666 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £512 to £2415 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 3 Children to 5 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,38,0,3,512,1
2024-06-04 16:03:14,24060402,7,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £503 to £9131 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £503 to £2169 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £503 to £1860 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,35,0,5,503,1
2024-06-04 16:13:50,24060402,8,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £9589 to £5288 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 1 Parent/Child to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 1 Sibling/Spouse to 3 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,1,0,1,31,1,1,9589,1
2024-06-04 16:15:34,24060402,9,Did not Survive,"[""Changing the Age from 23 to 1 and from 2 Parents/Children to 4 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 23 to 4 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 23 to 9 and the Fare from £1080 to £6665 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,1,0,2,23,1,2,1080,0
