Name,Sex,Embarked,Pclass,Age,SibSp,Parch,Fare,Survived
Miss Elisabeth Walton Allen,female,S,1,29,0,0,20165.82425,1
Master Hudson Trevor Allison,male,S,1,0.9167,1,2,14460.901,1
Miss Helen Loraine Allison,female,S,1,2,1,2,14460.901,0
Mr Hudson Joshua Creighton Allison,male,S,1,30,1,2,14460.901,0
Mrs Hudson J C (Bessie Waldo Daniels) Allison,female,S,1,25,1,2,14460.901,0
Mr Harry Anderson,male,S,1,48,0,0,2533.401,1
Miss Kornelia Theodosia Andrews,female,S,1,63,1,0,7438.780986,1
Mr Thomas Jr Andrews,male,S,1,39,0,0,0,0
Mrs Edward Dale (Charlotte Lamson) Appleton,female,S,1,53,2,0,4912.145264,1
Mr Ramon Artagaveytia,male,C,1,71,0,0,4723.690764,0
Col John Jacob Astor,male,C,1,47,1,0,21710.4355,0
Mrs John Jacob (Madeleine Talmadge Force) Astor,female,C,1,18,1,0,21710.4355,1
Mme Leontine Pauline Aubart,female,C,1,24,0,0,6612.606,1
"Miss Ellen ""Nellie"" Barber",female,S,1,26,0,0,7523.867,1
Mr Algernon Henry Wilson Barkworth,male,S,1,80,0,0,2862.6,1
Mr John D Baumann,male,S,1,,0,0,2473.7635,0
Mr Quigg Edmond Baxter,male,C,1,24,0,1,23618.43474,0
Mrs James (Helene DeLaudeniere Chaput) Baxter,female,C,1,50,0,1,23618.43474,1
Miss Albina Bazzani,female,C,1,32,0,0,7279.754014,1
Mr Thomson Beattie,male,C,1,36,0,0,7179.563014,0
Mr Richard Leonard Beckwith,male,S,1,37,1,1,5014.721764,1
Mrs Richard Leonard (Sallie Monypeny) Beckwith,female,S,1,47,1,1,5014.721764,1
Mr Karl Howell Behr,male,C,1,26,0,0,2862.6,1
Miss Rosalie Bidois,female,C,1,42,0,0,21710.4355,1
Miss Ellen Bird,female,S,1,29,0,0,21162.17126,1
Mr Jakob Birnbaum,male,C,1,25,0,0,2480.92,0
Mr Dickinson H Bishop,male,C,1,25,1,0,8690.777264,1
Mrs Dickinson H (Helen Walton) Bishop,female,C,1,19,1,0,8690.777264,1
Miss Amelia Bissette,female,S,1,35,0,0,12942.12949,1
Mr Mauritz Hakan Bjornstrom-Steffansson,male,S,1,28,0,0,2533.401,1
Mr Stephen Weart Blackwell,male,S,1,45,0,0,3387.41,0
Mr Henry Blank,male,C,1,40,0,0,2958.02,1
Miss Caroline Bonnell,female,S,1,30,0,0,15731.58051,1
Miss Elizabeth Bonnell,female,S,1,58,0,0,2533.401,1
Mr John James Borebank,male,S,1,42,0,0,2533.401,0
Miss Grace Scott Bowen,female,C,1,45,0,0,25035.8225,1
Miss Elsie Edith Bowerman,female,S,1,22,0,1,5248.1,1
"Mr George (""George Arthur Brayton"") Bradley",male,S,1,,0,0,2533.401,1
Mr John Bertram Brady,male,S,1,41,0,0,2910.31,0
Mr Emil Brandeis,male,C,1,48,0,0,4818.309236,0
